customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,No,No,4,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,110.35,440.88,No
CUST-00002,Female,1,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,63.52,726.69,Yes
CUST-00003,Male,0,No,No,31,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,86.97,2398.04,Yes
CUST-00004,Male,0,Yes,No,69,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,103.85,6234.33,Yes
CUST-00005,Male,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.54,131.53,No
CUST-00006,Female,1,Yes,No,42,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,21.74,797.07,Yes
CUST-00007,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),38.53,401.64,Yes
CUST-00008,Male,0,Yes,No,52,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,74.6,3850.83,No
CUST-00009,Male,0,Yes,No,36,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Mailed check,96.45,3406.8,Yes
CUST-00010,Female,0,Yes,Yes,23,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,96.18,2301.34,Yes
CUST-00011,Male,0,Yes,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,108.0,3726.84,Yes
